State,County,cooling system type,climate zone,PUE mean,WR_reference_city,WR_reference_county,WR_EWIF_L_per_kWh,WR_AWARE_CF,WR_SWI_L_per_kWh,WR_CaseA_WRE_g_per_kJ,WR_CaseA_Vw_L_per_kWh_IT,WR_CaseA_Ein_kWh_per_kWh_IT,WR_CaseA_HPD_baseline_L_per_kWh,WR_CaseA_WRE_L_per_kWh,WR_CaseB75_Vw_L_per_kWh_IT,WR_CaseB75_Ein_kWh_per_kWh_IT,WR_CaseB75_HPD_baseline_L_per_kWh,WR_CaseB75_WRE_g_per_kJ,WR_CaseB75_WRE_L_per_kWh,WR_weather_file_used,WR_CaseA_EinComp_kWh_per_kWh_IT,WR_CaseA_EinTotalCandidate_kWh_per_kWh_IT,WR_CaseA_NBinsOK,WR_CaseA_NBinsAssumedOff,WR_CaseB75_EinComp_kWh_per_kWh_IT,WR_CaseB75_EinTotalCandidate_kWh_per_kWh_IT,WR_CaseB75_NBinsOK,WR_CaseB75_NBinsAssumedOff,CCS_SER_thermal_MJ_per_kg,CCS_CEF_kgCO2e_per_kWh
Alabama,Baldwin County,7,2A,1.9688,Houston,Harris,1.3504911113944351,0.221203679,0.517070952,5.38766709127366,0.460178912671233,0.0237259417808219,3.601229,19.3956015285852,0.712892691780822,0.0273394520547945,3.601229,7.24322299218017,26.0756027718486,USA_TX_Houston-Hooks.Meml.AP.722429_TMYx.2011-2025.xlsx,0.0237259417808219,0.0718109528288936,13,8,0.0273394520547945,0.602283910995668,19,2,26.871,0.550536571580021
Alabama,Baldwin County,8,2A,1.8865,Houston,Harris,1.3504911113944351,0.221203679,0.517070952,5.38766709127366,0.460178912671233,0.0237259417808219,3.601229,19.3956015285852,0.712892691780822,0.0273394520547945,3.601229,7.24322299218017,26.0756027718486,USA_TX_Houston-Hooks.Meml.AP.722429_TMYx.2011-2025.xlsx,0.0237259417808219,0.0718109528288936,13,8,0.0273394520547945,0.602283910995668,19,2,26.871,0.550536571580021
Alabama,Baldwin County,9,2A,2.15985,Houston,Harris,1.3504911113944351,0.221203679,0.517070952,5.38766709127366,0.460178912671233,0.0237259417808219,3.601229,19.3956015285852,0.712892691780822,0.0273394520547945,3.601229,7.24322299218017,26.0756027718486,USA_TX_Houston-Hooks.Meml.AP.722429_TMYx.2011-2025.xlsx,0.0237259417808219,0.0718109528288936,13,8,0.0273394520547945,0.602283910995668,19,2,26.871,0.550536571580021
Alabama,Baldwin County,10,2A,2.19655,Houston,Harris,1.3504911113944351,0.221203679,0.517070952,5.38766709127366,0.460178912671233,0.0237259417808219,3.601229,19.3956015285852,0.712892691780822,0.0273394520547945,3.601229,7.24322299218017,26.0756027718486,USA_TX_Houston-Hooks.Meml.AP.722429_TMYx.2011-2025.xlsx,0.0237259417808219,0.0718109528288936,13,8,0.0273394520547945,0.602283910995668,19,2,26.871,0.550536571580021
Alabama,Baldwin County,11,2A,1.29975,Houston,Harris,1.3504911113944351,0.221203679,0.517070952,5.38766709127366,0.460178912671233,0.0237259417808219,3.601229,19.3956015285852,0.712892691780822,0.0273394520547945,3.601229,7.24322299218017,26.0756027718486,USA_TX_Houston-Hooks.Meml.AP.722429_TMYx.2011-2025.xlsx,0.0237259417808219,0.0718109528288936,13,8,0.0273394520547945,0.602283910995668,19,2,26.871,0.550536571580021
Alabama,Baldwin County,12,2A,1.47915,Houston,Harris,1.3504911113944351,0.221203679,0.517070952,5.38766709127366,0.460178912671233,0.0237259417808219,3.601229,19.3956015285852,0.712892691780822,0.0273394520547945,3.601229,7.24322299218017,26.0756027718486,USA_TX_Houston-Hooks.Meml.AP.722429_TMYx.2011-2025.xlsx,0.0237259417808219,0.0718109528288936,13,8,0.0273394520547945,0.602283910995668,19,2,26.871,0.550536571580021
Alabama,Baldwin County,13,2A,1.39785,Houston,Harris,1.3504911113944351,0.221203679,0.517070952,5.38766709127366,0.460178912671233,0.0237259417808219,3.601229,19.3956015285852,0.712892691780822,0.0273394520547945,3.601229,7.24322299218017,26.0756027718486,USA_TX_Houston-Hooks.Meml.AP.722429_TMYx.2011-2025.xlsx,0.0237259417808219,0.0718109528288936,13,8,0.0273394520547945,0.602283910995668,19,2,26.871,0.550536571580021
Alabama,Baldwin County,14,2A,1.7466,Houston,Harris,1.3504911113944351,0.221203679,0.517070952,5.38766709127366,0.460178912671233,0.0237259417808219,3.601229,19.3956015285852,0.712892691780822,0.0273394520547945,3.601229,7.24322299218017,26.0756027718486,USA_TX_Houston-Hooks.Meml.AP.722429_TMYx.2011-2025.xlsx,0.0237259417808219,0.0718109528288936,13,8,0.0273394520547945,0.602283910995668,19,2,26.871,0.550536571580021
Alabama,Barbour County,1,3A,1.1968,Atlanta,Fulton,2.238038167330172,0.380752001,0.517070952,3.92366435765127,0.229961506849315,0.0162802397260274,2.590477,14.1251916875446,0.601358835616438,0.0269593150684932,2.590477,6.19615596984463,22.3061614914407,USA_GA_Atlanta-Hartsfield-Jackson.Intl.AP.722190_TMYx.2011-2025.xlsx,0.0162802397260274,0.0492751578760863,7,13,0.0269593150684932,0.593949053902135,18,2,25.359,0.550536571580029
Alabama,Barbour County,2,3A,1.15765,Atlanta,Fulton,2.238038167330172,0.380752001,0.517070952,3.92366435765127,0.229961506849315,0.0162802397260274,2.590477,14.1251916875446,0.601358835616438,0.0269593150684932,2.590477,6.19615596984463,22.3061614914407,USA_GA_Atlanta-Hartsfield-Jackson.Intl.AP.722190_TMYx.2011-2025.xlsx,0.0162802397260274,0.0492751578760863,7,13,0.0269593150684932,0.593949053902135,18,2,25.359,0.550536571580029
Alabama,Barbour County,3,3A,1.53995,Atlanta,Fulton,2.238038167330172,0.380752001,0.517070952,3.92366435765127,0.229961506849315,0.0162802397260274,2.590477,14.1251916875446,0.601358835616438,0.0269593150684932,2.590477,6.19615596984463,22.3061614914407,USA_GA_Atlanta-Hartsfield-Jackson.Intl.AP.722190_TMYx.2011-2025.xlsx,0.0162802397260274,0.0492751578760863,7,13,0.0269593150684932,0.593949053902135,18,2,25.359,0.550536571580029
Alabama,Barbour County,4,3A,1.4143,Atlanta,Fulton,2.238038167330172,0.380752001,0.517070952,3.92366435765127,0.229961506849315,0.0162802397260274,2.590477,14.1251916875446,0.601358835616438,0.0269593150684932,2.590477,6.19615596984463,22.3061614914407,USA_GA_Atlanta-Hartsfield-Jackson.Intl.AP.722190_TMYx.2011-2025.xlsx,0.0162802397260274,0.0492751578760863,7,13,0.0269593150684932,0.593949053902135,18,2,25.359,0.550536571580029
Alabama,Barbour County,5,3A,1.63775,Atlanta,Fulton,2.238038167330172,0.380752001,0.517070952,3.92366435765127,0.229961506849315,0.0162802397260274,2.590477,14.1251916875446,0.601358835616438,0.0269593150684932,2.590477,6.19615596984463,22.3061614914407,USA_GA_Atlanta-Hartsfield-Jackson.Intl.AP.722190_TMYx.2011-2025.xlsx,0.0162802397260274,0.0492751578760863,7,13,0.0269593150684932,0.593949053902135,18,2,25.359,0.550536571580029
Alabama,Barbour County,6,3A,1.62605,Atlanta,Fulton,2.238038167330172,0.380752001,0.517070952,3.92366435765127,0.229961506849315,0.0162802397260274,2.590477,14.1251916875446,0.601358835616438,0.0269593150684932,2.590477,6.19615596984463,22.3061614914407,USA_GA_Atlanta-Hartsfield-Jackson.Intl.AP.722190_TMYx.2011-2025.xlsx,0.0162802397260274,0.0492751578760863,7,13,0.0269593150684932,0.593949053902135,18,2,25.359,0.550536571580029
