State,County,cooling system type,climate zone,PUE mean
Alabama,Cleburne County,10,,
Alabama,Cleburne County,11,,
Alabama,Cleburne County,12,,
Alabama,Cleburne County,13,,
Alabama,Cleburne County,14,,
Alabama,Coffee County,1,,
Alabama,Coffee County,2,,
Alabama,Coffee County,3,,
Alabama,Coffee County,4,,
Alabama,Coffee County,5,,
Alabama,Coffee County,6,,
Alabama,Coffee County,7,,
Alabama,Coffee County,8,,
Alabama,Coffee County,9,,
Alabama,Coffee County,10,,
Alabama,Coffee County,11,,
Alabama,Coffee County,12,,
Alabama,Coffee County,13,,
Alabama,Coffee County,14,,
Alabama,Colbert County,1,,
Alabama,Colbert County,2,,
Alabama,Colbert County,3,,
Alabama,Colbert County,4,,
Alabama,Colbert County,5,,
Alabama,Colbert County,6,,
Alabama,Colbert County,7,,
Alabama,Colbert County,8,,
Alabama,Colbert County,9,,
Alabama,Colbert County,10,,
Alabama,Colbert County,11,,
Alabama,Colbert County,12,,
Alabama,Colbert County,13,,
Alabama,Colbert County,14,,
Alabama,Conecuh County,1,,
Alabama,Conecuh County,2,,
Alabama,Conecuh County,3,,
Alabama,Conecuh County,4,,
Alabama,Conecuh County,5,,
Alabama,Conecuh County,6,,
Alabama,Conecuh County,7,,
Alabama,Conecuh County,8,,
Alabama,Conecuh County,9,,
Alabama,Conecuh County,10,,
Alabama,Conecuh County,11,,
Alabama,Conecuh County,12,,
Alabama,Conecuh County,13,,
Alabama,Conecuh County,14,,
Alabama,Coosa County,1,,
Alabama,Coosa County,2,,
Alabama,Coosa County,3,,
Alabama,Coosa County,4,,
Alabama,Coosa County,5,,
Alabama,Coosa County,6,,
Alabama,Coosa County,7,,
Alabama,Coosa County,8,,
Alabama,Coosa County,9,,
Alabama,Coosa County,10,,
Alabama,Coosa County,11,,
Alabama,Coosa County,12,,
Alabama,Coosa County,13,,
Alabama,Coosa County,14,,
Alabama,Covington County,1,,
Alabama,Covington County,2,,
Alabama,Covington County,3,,
Alabama,Covington County,4,,
Alabama,Covington County,5,,
Alabama,Covington County,6,,
Alabama,Covington County,7,,
Alabama,Covington County,8,,
Alabama,Covington County,9,,
Alabama,Covington County,10,,
Alabama,Covington County,11,,
Alabama,Covington County,12,,
Alabama,Covington County,13,,
Alabama,Covington County,14,,
Alabama,Crenshaw County,1,,
Alabama,Crenshaw County,2,,
Alabama,Crenshaw County,3,,
Alabama,Crenshaw County,4,,
Alabama,Crenshaw County,5,,
Alabama,Crenshaw County,6,,
Alabama,Crenshaw County,7,,
Alabama,Crenshaw County,8,,
Alabama,Crenshaw County,9,,
Alabama,Crenshaw County,10,,
Alabama,Crenshaw County,11,,
Alabama,Crenshaw County,12,,
Alabama,Crenshaw County,13,,
Alabama,Crenshaw County,14,,
Alabama,Cullman County,1,,
Alabama,Cullman County,2,,
Alabama,Cullman County,3,,
Alabama,Cullman County,4,,
Alabama,Cullman County,5,,
Alabama,Cullman County,6,,
Alabama,Cullman County,7,,
Alabama,Cullman County,8,,
Alabama,Cullman County,9,,
Alabama,Cullman County,10,,
Alabama,Cullman County,11,,
Alabama,Cullman County,12,,
Alabama,Cullman County,13,,
Alabama,Cullman County,14,,
Alabama,Dale County,1,,
Alabama,Dale County,2,,
Alabama,Dale County,3,,
Alabama,Dale County,4,,
Alabama,Dale County,5,,
Alabama,Dale County,6,,
Alabama,Dale County,7,,
Alabama,Dale County,8,,
Alabama,Dale County,9,,
Alabama,Dale County,10,,
Alabama,Dale County,11,,
Alabama,Dale County,12,,
Alabama,Dale County,13,,
Alabama,Dale County,14,,
Alabama,Dallas County,1,,
Alabama,Dallas County,2,,
Alabama,Dallas County,3,,
Alabama,Dallas County,4,,
Alabama,Dallas County,5,,
Alabama,Dallas County,6,,
Alabama,Dallas County,7,,
Alabama,Dallas County,8,,
Alabama,Dallas County,9,,
Alabama,Dallas County,10,,
Alabama,Dallas County,11,,
Alabama,Dallas County,12,,
Alabama,Dallas County,13,,
Alabama,Dallas County,14,,
Alabama,DeKalb County,1,,
Alabama,DeKalb County,2,,
Alabama,DeKalb County,3,,
Alabama,DeKalb County,4,,
Alabama,DeKalb County,5,,
Alabama,DeKalb County,6,,
Alabama,DeKalb County,7,,
Alabama,DeKalb County,8,,
Alabama,DeKalb County,9,,
Alabama,DeKalb County,10,,
Alabama,DeKalb County,11,,
Alabama,DeKalb County,12,,
Alabama,DeKalb County,13,,
Alabama,DeKalb County,14,,
Alabama,Elmore County,1,,
Alabama,Elmore County,2,,
Alabama,Elmore County,3,,
Alabama,Elmore County,4,,
Alabama,Elmore County,5,,
Alabama,Elmore County,6,,
Alabama,Elmore County,7,,
Alabama,Elmore County,8,,
Alabama,Elmore County,9,,
Alabama,Elmore County,10,,
Alabama,Elmore County,11,,
Alabama,Elmore County,12,,
Alabama,Elmore County,13,,
Alabama,Elmore County,14,,
Alabama,Escambia County,1,,
Alabama,Escambia County,2,,
Alabama,Escambia County,3,,
Alabama,Escambia County,4,,
Alabama,Escambia County,5,,
Alabama,Escambia County,6,,
Alabama,Escambia County,7,,
Alabama,Escambia County,8,,
Alabama,Escambia County,9,,
Alabama,Escambia County,10,,
Alabama,Escambia County,11,,
Alabama,Escambia County,12,,
Alabama,Escambia County,13,,
Alabama,Escambia County,14,,
Alabama,Etowah County,1,,
Alabama,Etowah County,2,,
Alabama,Etowah County,3,,
Alabama,Etowah County,4,,
Alabama,Etowah County,5,,
Alabama,Etowah County,6,,
Alabama,Etowah County,7,,
Alabama,Etowah County,8,,
Alabama,Etowah County,9,,
Alabama,Etowah County,10,,
Alabama,Etowah County,11,,
Alabama,Etowah County,12,,
Alabama,Etowah County,13,,
Alabama,Etowah County,14,,
Alabama,Fayette County,1,,
Alabama,Fayette County,2,,
Alabama,Fayette County,3,,
Alabama,Fayette County,4,,
Alabama,Fayette County,5,,
Alabama,Fayette County,6,,
Alabama,Fayette County,7,,
Alabama,Fayette County,8,,
Alabama,Fayette County,9,,
Alabama,Fayette County,10,,
Alabama,Fayette County,11,,
Alabama,Fayette County,12,,
Alabama,Fayette County,13,,
Alabama,Fayette County,14,,
Alabama,Franklin County,1,,
Alabama,Franklin County,2,,
Alabama,Franklin County,3,,
Alabama,Franklin County,4,,
Alabama,Franklin County,5,,
Alabama,Franklin County,6,,
Alabama,Franklin County,7,,
Alabama,Franklin County,8,,
Alabama,Franklin County,9,,
Alabama,Franklin County,10,,
Alabama,Franklin County,11,,
Alabama,Franklin County,12,,
Alabama,Franklin County,13,,
Alabama,Franklin County,14,,
Alabama,Geneva County,1,,
Alabama,Geneva County,2,,
Alabama,Geneva County,3,,
Alabama,Geneva County,4,,
Alabama,Geneva County,5,,
Alabama,Geneva County,6,,
Alabama,Geneva County,7,,
Alabama,Geneva County,8,,
Alabama,Geneva County,9,,
Alabama,Geneva County,10,,
Alabama,Geneva County,11,,
Alabama,Geneva County,12,,
Alabama,Geneva County,13,,
Alabama,Geneva County,14,,
Alabama,Greene County,1,,
Alabama,Greene County,2,,
Alabama,Greene County,3,,
Alabama,Greene County,4,,
Alabama,Greene County,5,,
Alabama,Greene County,6,,
Alabama,Greene County,7,,
Alabama,Greene County,8,,
Alabama,Greene County,9,,
Alabama,Greene County,10,,
Alabama,Greene County,11,,
Alabama,Greene County,12,,
Alabama,Greene County,13,,
Alabama,Greene County,14,,
Alabama,Hale County,1,,
Alabama,Hale County,2,,
Alabama,Hale County,3,,
Alabama,Hale County,4,,
Alabama,Hale County,5,,
Alabama,Hale County,6,,
Alabama,Hale County,7,,
Alabama,Hale County,8,,
Alabama,Hale County,9,,
Alabama,Hale County,10,,
Alabama,Hale County,11,,
Alabama,Hale County,12,,
Alabama,Hale County,13,,
Alabama,Hale County,14,,
Alabama,Henry County,1,,
Alabama,Henry County,2,,
Alabama,Henry County,3,,
Alabama,Henry County,4,,
Alabama,Henry County,5,,
Alabama,Henry County,6,,
Alabama,Henry County,7,,
Alabama,Henry County,8,,
Alabama,Henry County,9,,
Alabama,Henry County,10,,
Alabama,Henry County,11,,
Alabama,Henry County,12,,
Alabama,Henry County,13,,
Alabama,Henry County,14,,
Alabama,Houston County,1,,
Alabama,Houston County,2,,
Alabama,Houston County,3,,
Alabama,Houston County,4,,
Alabama,Houston County,5,,
Alabama,Houston County,6,,
Alabama,Houston County,7,,
Alabama,Houston County,8,,
Alabama,Houston County,9,,
Alabama,Houston County,10,,
Alabama,Houston County,11,,
Alabama,Houston County,12,,
Alabama,Houston County,13,,
Alabama,Houston County,14,,
Alabama,Jackson County,1,,
Alabama,Jackson County,2,,
Alabama,Jackson County,3,,
Alabama,Jackson County,4,,
