State,County,cooling system type,climate zone,PUE mean,WR_CaseB_DWSF_L_per_kWh,WR_SWI_L_per_kWh
Alabama,Butler County,10,3A,2.1448,-7.41320326,0.687173942
Alabama,Butler County,11,3A,1.2664,-7.41320326,0.687173942
Alabama,Butler County,12,3A,1.4528,-7.41320326,0.687173942
Alabama,Butler County,13,3A,1.37885,-7.41320326,0.687173942
Alabama,Butler County,14,3A,1.60905,-7.41320326,0.687173942
Alabama,Calhoun County,1,3A,1.1968,-7.41320326,0.687173942
Alabama,Calhoun County,2,3A,1.15765,-7.41320326,0.687173942
Alabama,Calhoun County,3,3A,1.53995,-7.41320326,0.687173942
Alabama,Calhoun County,4,3A,1.4143,-7.41320326,0.687173942
Alabama,Calhoun County,5,3A,1.63775,-7.41320326,0.687173942
Alabama,Calhoun County,6,3A,1.62605,-7.41320326,0.687173942
Alabama,Calhoun County,7,3A,1.8597,-7.41320326,0.687173942
Alabama,Calhoun County,8,3A,1.87095,-7.41320326,0.687173942
Alabama,Calhoun County,9,3A,2.0324,-7.41320326,0.687173942
Alabama,Calhoun County,10,3A,2.1448,-7.41320326,0.687173942
Alabama,Calhoun County,11,3A,1.2664,-7.41320326,0.687173942
Alabama,Calhoun County,12,3A,1.4528,-7.41320326,0.687173942
Alabama,Calhoun County,13,3A,1.37885,-7.41320326,0.687173942
Alabama,Calhoun County,14,3A,1.60905,-7.41320326,0.687173942
Alabama,Chambers County,1,3A,1.1968,-7.41320326,0.687173942
Alabama,Chambers County,2,3A,1.15765,-7.41320326,0.687173942
Alabama,Chambers County,3,3A,1.53995,-7.41320326,0.687173942
Alabama,Chambers County,4,3A,1.4143,-7.41320326,0.687173942
Alabama,Chambers County,5,3A,1.63775,-7.41320326,0.687173942
Alabama,Chambers County,6,3A,1.62605,-7.41320326,0.687173942
Alabama,Chambers County,7,3A,1.8597,-7.41320326,0.687173942
Alabama,Chambers County,8,3A,1.87095,-7.41320326,0.687173942
Alabama,Chambers County,9,3A,2.0324,-7.41320326,0.687173942
Alabama,Chambers County,10,3A,2.1448,-7.41320326,0.687173942
Alabama,Chambers County,11,3A,1.2664,-7.41320326,0.687173942
Alabama,Chambers County,12,3A,1.4528,-7.41320326,0.687173942
Alabama,Chambers County,13,3A,1.37885,-7.41320326,0.687173942
Alabama,Chambers County,14,3A,1.60905,-7.41320326,0.687173942
Alabama,Cherokee County,1,3A,1.1968,-7.41320326,0.687173942
Alabama,Cherokee County,2,3A,1.15765,-7.41320326,0.687173942
Alabama,Cherokee County,3,3A,1.53995,-7.41320326,0.687173942
Alabama,Cherokee County,4,3A,1.4143,-7.41320326,0.687173942
Alabama,Cherokee County,5,3A,1.63775,-7.41320326,0.687173942
Alabama,Cherokee County,6,3A,1.62605,-7.41320326,0.687173942
Alabama,Cherokee County,7,3A,1.8597,-7.41320326,0.687173942
Alabama,Cherokee County,8,3A,1.87095,-7.41320326,0.687173942
Alabama,Cherokee County,9,3A,2.0324,-7.41320326,0.687173942
Alabama,Cherokee County,10,3A,2.1448,-7.41320326,0.687173942
Alabama,Cherokee County,11,3A,1.2664,-7.41320326,0.687173942
Alabama,Cherokee County,12,3A,1.4528,-7.41320326,0.687173942
Alabama,Cherokee County,13,3A,1.37885,-7.41320326,0.687173942
Alabama,Cherokee County,14,3A,1.60905,-7.41320326,0.687173942
Alabama,Chilton County,1,3A,1.1968,-7.41320326,0.687173942
Alabama,Chilton County,2,3A,1.15765,-7.41320326,0.687173942
Alabama,Chilton County,3,3A,1.53995,-7.41320326,0.687173942
Alabama,Chilton County,4,3A,1.4143,-7.41320326,0.687173942
Alabama,Chilton County,5,3A,1.63775,-7.41320326,0.687173942
Alabama,Chilton County,6,3A,1.62605,-7.41320326,0.687173942
Alabama,Chilton County,7,3A,1.8597,-7.41320326,0.687173942
Alabama,Chilton County,8,3A,1.87095,-7.41320326,0.687173942
Alabama,Chilton County,9,3A,2.0324,-7.41320326,0.687173942
Alabama,Chilton County,10,3A,2.1448,-7.41320326,0.687173942
Alabama,Chilton County,11,3A,1.2664,-7.41320326,0.687173942
Alabama,Chilton County,12,3A,1.4528,-7.41320326,0.687173942
Alabama,Chilton County,13,3A,1.37885,-7.41320326,0.687173942
Alabama,Chilton County,14,3A,1.60905,-7.41320326,0.687173942
Alabama,Choctaw County,1,3A,1.1968,-7.41320326,0.687173942
Alabama,Choctaw County,2,3A,1.15765,-7.41320326,0.687173942
Alabama,Choctaw County,3,3A,1.53995,-7.41320326,0.687173942
Alabama,Choctaw County,4,3A,1.4143,-7.41320326,0.687173942
Alabama,Choctaw County,5,3A,1.63775,-7.41320326,0.687173942
Alabama,Choctaw County,6,3A,1.62605,-7.41320326,0.687173942
Alabama,Choctaw County,7,3A,1.8597,-7.41320326,0.687173942
Alabama,Choctaw County,8,3A,1.87095,-7.41320326,0.687173942
Alabama,Choctaw County,9,3A,2.0324,-7.41320326,0.687173942
Alabama,Choctaw County,10,3A,2.1448,-7.41320326,0.687173942
Alabama,Choctaw County,11,3A,1.2664,-7.41320326,0.687173942
Alabama,Choctaw County,12,3A,1.4528,-7.41320326,0.687173942
Alabama,Choctaw County,13,3A,1.37885,-7.41320326,0.687173942
Alabama,Choctaw County,14,3A,1.60905,-7.41320326,0.687173942
Alabama,Clarke County,1,3A,1.1968,-7.41320326,0.687173942
Alabama,Clarke County,2,3A,1.15765,-7.41320326,0.687173942
Alabama,Clarke County,3,3A,1.53995,-7.41320326,0.687173942
Alabama,Clarke County,4,3A,1.4143,-7.41320326,0.687173942
Alabama,Clarke County,5,3A,1.63775,-7.41320326,0.687173942
Alabama,Clarke County,6,3A,1.62605,-7.41320326,0.687173942
Alabama,Clarke County,7,3A,1.8597,-7.41320326,0.687173942
Alabama,Clarke County,8,3A,1.87095,-7.41320326,0.687173942
Alabama,Clarke County,9,3A,2.0324,-7.41320326,0.687173942
Alabama,Clarke County,10,3A,2.1448,-7.41320326,0.687173942
Alabama,Clarke County,11,3A,1.2664,-7.41320326,0.687173942
Alabama,Clarke County,12,3A,1.4528,-7.41320326,0.687173942
Alabama,Clarke County,13,3A,1.37885,-7.41320326,0.687173942
Alabama,Clarke County,14,3A,1.60905,-7.41320326,0.687173942
Alabama,Clay County,1,3A,1.1968,-7.41320326,0.687173942
Alabama,Clay County,2,3A,1.15765,-7.41320326,0.687173942
Alabama,Clay County,3,3A,1.53995,-7.41320326,0.687173942
Alabama,Clay County,4,3A,1.4143,-7.41320326,0.687173942
Alabama,Clay County,5,3A,1.63775,-7.41320326,0.687173942
Alabama,Clay County,6,3A,1.62605,-7.41320326,0.687173942
Alabama,Clay County,7,3A,1.8597,-7.41320326,0.687173942
Alabama,Clay County,8,3A,1.87095,-7.41320326,0.687173942
Alabama,Clay County,9,3A,2.0324,-7.41320326,0.687173942
Alabama,Clay County,10,3A,2.1448,-7.41320326,0.687173942
Alabama,Clay County,11,3A,1.2664,-7.41320326,0.687173942
Alabama,Clay County,12,3A,1.4528,-7.41320326,0.687173942
Alabama,Clay County,13,3A,1.37885,-7.41320326,0.687173942
Alabama,Clay County,14,3A,1.60905,-7.41320326,0.687173942
Alabama,Cleburne County,1,3A,1.1968,-7.41320326,0.687173942
Alabama,Cleburne County,2,3A,1.15765,-7.41320326,0.687173942
Alabama,Cleburne County,3,3A,1.53995,-7.41320326,0.687173942
Alabama,Cleburne County,4,3A,1.4143,-7.41320326,0.687173942
Alabama,Cleburne County,5,3A,1.63775,-7.41320326,0.687173942
Alabama,Cleburne County,6,3A,1.62605,-7.41320326,0.687173942
Alabama,Cleburne County,7,3A,1.8597,-7.41320326,0.687173942
Alabama,Cleburne County,8,3A,1.87095,-7.41320326,0.687173942
Alabama,Cleburne County,9,3A,2.0324,-7.41320326,0.687173942
Alabama,Cleburne County,10,3A,2.1448,-7.41320326,0.687173942
Alabama,Cleburne County,11,3A,1.2664,-7.41320326,0.687173942
Alabama,Cleburne County,12,3A,1.4528,-7.41320326,0.687173942
Alabama,Cleburne County,13,3A,1.37885,-7.41320326,0.687173942
Alabama,Cleburne County,14,3A,1.60905,-7.41320326,0.687173942
Alabama,Coffee County,1,3A,1.1968,-7.41320326,0.687173942
Alabama,Coffee County,2,3A,1.15765,-7.41320326,0.687173942
Alabama,Coffee County,3,3A,1.53995,-7.41320326,0.687173942
Alabama,Coffee County,4,3A,1.4143,-7.41320326,0.687173942
Alabama,Coffee County,5,3A,1.63775,-7.41320326,0.687173942
Alabama,Coffee County,6,3A,1.62605,-7.41320326,0.687173942
Alabama,Coffee County,7,3A,1.8597,-7.41320326,0.687173942
Alabama,Coffee County,8,3A,1.87095,-7.41320326,0.687173942
Alabama,Coffee County,9,3A,2.0324,-7.41320326,0.687173942
Alabama,Coffee County,10,3A,2.1448,-7.41320326,0.687173942
Alabama,Coffee County,11,3A,1.2664,-7.41320326,0.687173942
Alabama,Coffee County,12,3A,1.4528,-7.41320326,0.687173942
Alabama,Coffee County,13,3A,1.37885,-7.41320326,0.687173942
Alabama,Coffee County,14,3A,1.60905,-7.41320326,0.687173942
Alabama,Colbert County,1,3A,1.1968,-7.41320326,0.687173942
Alabama,Colbert County,2,3A,1.15765,-7.41320326,0.687173942
Alabama,Colbert County,3,3A,1.53995,-7.41320326,0.687173942
Alabama,Colbert County,4,3A,1.4143,-7.41320326,0.687173942
Alabama,Colbert County,5,3A,1.63775,-7.41320326,0.687173942
Alabama,Colbert County,6,3A,1.62605,-7.41320326,0.687173942
Alabama,Colbert County,7,3A,1.8597,-7.41320326,0.687173942
Alabama,Colbert County,8,3A,1.87095,-7.41320326,0.687173942
Alabama,Colbert County,9,3A,2.0324,-7.41320326,0.687173942
Alabama,Colbert County,10,3A,2.1448,-7.41320326,0.687173942
