State,County,cooling system type,climate zone,PUE mean
Alabama,Chilton County,11,3A,1.2664
Alabama,Chilton County,12,3A,1.4528
Alabama,Chilton County,13,3A,1.37885
Alabama,Chilton County,14,3A,1.60905
Alabama,Choctaw County,1,3A,1.1968
Alabama,Choctaw County,2,3A,1.15765
Alabama,Choctaw County,3,3A,1.53995
Alabama,Choctaw County,4,3A,1.4143
Alabama,Choctaw County,5,3A,1.63775
Alabama,Choctaw County,6,3A,1.62605
Alabama,Choctaw County,7,3A,1.8597
Alabama,Choctaw County,8,3A,1.87095
Alabama,Choctaw County,9,3A,2.0324
Alabama,Choctaw County,10,3A,2.1448
Alabama,Choctaw County,11,3A,1.2664
Alabama,Choctaw County,12,3A,1.4528
Alabama,Choctaw County,13,3A,1.37885
Alabama,Choctaw County,14,3A,1.60905
Alabama,Clarke County,1,3A,1.1968
Alabama,Clarke County,2,3A,1.15765
Alabama,Clarke County,3,3A,1.53995
Alabama,Clarke County,4,3A,1.4143
Alabama,Clarke County,5,3A,1.63775
Alabama,Clarke County,6,3A,1.62605
Alabama,Clarke County,7,3A,1.8597
Alabama,Clarke County,8,3A,1.87095
Alabama,Clarke County,9,3A,2.0324
Alabama,Clarke County,10,3A,2.1448
Alabama,Clarke County,11,3A,1.2664
Alabama,Clarke County,12,3A,1.4528
Alabama,Clarke County,13,3A,1.37885
Alabama,Clarke County,14,3A,1.60905
Alabama,Clay County,1,3A,1.1968
Alabama,Clay County,2,3A,1.15765
Alabama,Clay County,3,3A,1.53995
Alabama,Clay County,4,3A,1.4143
Alabama,Clay County,5,3A,1.63775
Alabama,Clay County,6,3A,1.62605
Alabama,Clay County,7,3A,1.8597
Alabama,Clay County,8,3A,1.87095
Alabama,Clay County,9,3A,2.0324
Alabama,Clay County,10,3A,2.1448
Alabama,Clay County,11,3A,1.2664
Alabama,Clay County,12,3A,1.4528
Alabama,Clay County,13,3A,1.37885
Alabama,Clay County,14,3A,1.60905
Alabama,Cleburne County,1,3A,1.1968
Alabama,Cleburne County,2,3A,1.15765
Alabama,Cleburne County,3,3A,1.53995
Alabama,Cleburne County,4,3A,1.4143
Alabama,Cleburne County,5,3A,1.63775
Alabama,Cleburne County,6,3A,1.62605
Alabama,Cleburne County,7,3A,1.8597
Alabama,Cleburne County,8,3A,1.87095
Alabama,Cleburne County,9,3A,2.0324
Alabama,Cleburne County,10,3A,2.1448
Alabama,Cleburne County,11,3A,1.2664
Alabama,Cleburne County,12,3A,1.4528
Alabama,Cleburne County,13,3A,1.37885
Alabama,Cleburne County,14,3A,1.60905
Alabama,Coffee County,1,3A,1.1968
Alabama,Coffee County,2,3A,1.15765
Alabama,Coffee County,3,3A,1.53995
Alabama,Coffee County,4,3A,1.4143
Alabama,Coffee County,5,3A,1.63775
Alabama,Coffee County,6,3A,1.62605
Alabama,Coffee County,7,3A,1.8597
Alabama,Coffee County,8,3A,1.87095
Alabama,Coffee County,9,3A,2.0324
Alabama,Coffee County,10,3A,2.1448
Alabama,Coffee County,11,3A,1.2664
Alabama,Coffee County,12,3A,1.4528
Alabama,Coffee County,13,3A,1.37885
Alabama,Coffee County,14,3A,1.60905
Alabama,Colbert County,1,3A,1.1968
Alabama,Colbert County,2,3A,1.15765
Alabama,Colbert County,3,3A,1.53995
Alabama,Colbert County,4,3A,1.4143
Alabama,Colbert County,5,3A,1.63775
Alabama,Colbert County,6,3A,1.62605
Alabama,Colbert County,7,3A,1.8597
Alabama,Colbert County,8,3A,1.87095
Alabama,Colbert County,9,3A,2.0324
Alabama,Colbert County,10,3A,2.1448
Alabama,Colbert County,11,3A,1.2664
Alabama,Colbert County,12,3A,1.4528
Alabama,Colbert County,13,3A,1.37885
Alabama,Colbert County,14,3A,1.60905
Alabama,Conecuh County,1,3A,1.1968
Alabama,Conecuh County,2,3A,1.15765
Alabama,Conecuh County,3,3A,1.53995
Alabama,Conecuh County,4,3A,1.4143
Alabama,Conecuh County,5,3A,1.63775
Alabama,Conecuh County,6,3A,1.62605
Alabama,Conecuh County,7,3A,1.8597
Alabama,Conecuh County,8,3A,1.87095
Alabama,Conecuh County,9,3A,2.0324
Alabama,Conecuh County,10,3A,2.1448
Alabama,Conecuh County,11,3A,1.2664
Alabama,Conecuh County,12,3A,1.4528
Alabama,Conecuh County,13,3A,1.37885
Alabama,Conecuh County,14,3A,1.60905
Alabama,Coosa County,1,3A,1.1968
Alabama,Coosa County,2,3A,1.15765
Alabama,Coosa County,3,3A,1.53995
Alabama,Coosa County,4,3A,1.4143
Alabama,Coosa County,5,3A,1.63775
Alabama,Coosa County,6,3A,1.62605
Alabama,Coosa County,7,3A,1.8597
Alabama,Coosa County,8,3A,1.87095
Alabama,Coosa County,9,3A,2.0324
Alabama,Coosa County,10,3A,2.1448
Alabama,Coosa County,11,3A,1.2664
Alabama,Coosa County,12,3A,1.4528
Alabama,Coosa County,13,3A,1.37885
Alabama,Coosa County,14,3A,1.60905
